tconst,title,year,studio,genres,runtime_minutes,imdb_rating,total_gross,genre_list
tt1047540,parental guidance,2012,Fox,"Comedy,Family",105.0,6.1,119800000,"['Comedy,Family']"
tt1611224,abraham lincoln: vampire hunter,2012,Fox,"Action,Fantasy,Horror",105.0,5.9,116500000,"['Action,Fantasy,Horror']"
tt1981677,pitch perfect,2012,Uni.,"Comedy,Music,Romance",112.0,7.2,115300000,"['Comedy,Music,Romance']"
tt1535438,hope springs,2012,Sony,"Comedy,Drama,Romance",100.0,6.3,114200000,"['Comedy,Drama,Romance']"
tt1623288,paranorman,2012,Focus,"Adventure,Animation,Comedy",92.0,7.0,107100000,"['Adventure,Animation,Comedy']"
tt1790886,the campaign,2012,WB,Comedy,85.0,6.1,104900000,['Comedy']
tt1636826,project x,2012,WB,Comedy,88.0,6.7,102700000,['Comedy']
tt1560985,the devil inside,2012,Par.,Horror,83.0,4.2,101800000,['Horror']
tt1327194,the lucky one,2012,WB,"Drama,Romance",101.0,6.5,99400000,"['Drama,Romance']"
tt1524137,contraband,2012,Uni.,"Action,Crime,Drama",109.0,6.5,96200000,"['Action,Crime,Drama']"
tt1621045,think like a man,2012,SGem,"Comedy,Romance",122.0,6.6,96000000,"['Comedy,Romance']"
tt1758830,this is 40,2012,Uni.,"Comedy,Romance",134.0,6.2,88000000,"['Comedy,Romance']"
tt0431021,the possession,2012,LGF,"Horror,Mystery,Thriller",92.0,5.9,85400000,"['Horror,Mystery,Thriller']"
tt1586265,what to expect when you're expecting,2012,LGF,"Comedy,Drama,Romance",110.0,5.7,84400000,"['Comedy,Drama,Romance']"
tt2330866,the thieves,2012,WGUSA,"Action,Comedy,Crime",135.0,6.8,83486000,"['Action,Comedy,Crime']"
tt1142977,frankenweenie,2012,BV,"Animation,Comedy,Family",87.0,7.0,81500000,"['Animation,Comedy,Family']"
tt1591479,act of valor,2012,Rela.,"Action,Adventure,Drama",110.0,6.5,81300000,"['Action,Adventure,Drama']"
tt1922777,sinister,2012,LG/S,"Horror,Mystery,Thriller",110.0,6.8,77700000,"['Horror,Mystery,Thriller']"
tt2023453,diary of a wimpy kid: dog days,2012,Fox,"Comedy,Family",94.0,6.3,77100000,"['Comedy,Family']"
tt1859650,to rome with love,2012,SPC,"Comedy,Music,Romance",112.0,6.3,73300000,"['Comedy,Music,Romance']"
tt1648179,here comes the boom,2012,Sony,"Action,Comedy,Sport",105.0,6.4,73100000,"['Action,Comedy,Sport']"
tt1781769,anna karenina,2012,Focus,"Drama,Romance",129.0,6.6,68900000,"['Drama,Romance']"
tt1298649,the watch,2012,Fox,"Action,Comedy,Horror",102.0,5.7,68300000,"['Action,Comedy,Horror']"
tt1748122,moonrise kingdom,2012,Focus,"Adventure,Comedy,Drama",94.0,7.8,68300000,"['Adventure,Comedy,Drama']"
tt1336608,rock of ages,2012,WB (NL),"Comedy,Drama,Musical",123.0,5.9,59400000,"['Comedy,Drama,Musical']"
tt1232200,that's my boy,2012,Sony,Comedy,116.0,5.6,57700000,['Comedy']
